,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,kelas
0,1764.75,204.25,21.75,0.0,486.5,83.0,81.5,1.5,1.25,0.75,44.0,12.75,0.0,0.0,0.0,0.0,368.75,57.0,1.0,0.0,1591.25,1486.5,229.75,1.75,562.25,957.5,146.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,216.75,3.75,0.75,680.5,1516.0,240.0,15.0,10.75,71.5,37.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,77.75,42.5,0.0,5.25,56.0,117.75,59.25,721.75,2168.5,838.25,390.75,235.5,157.75,106.75,82.25,84.25,74.25,73.0,77.0,100.75,134.25,219.25,373.75,824.75,4696.25,Batik Bali
1,961.5,318.5,12.5,17.0,0.0,644.5,713.25,190.5,0.0,0.0,8.0,76.0,0.0,0.0,0.0,0.0,6.75,19.0,0.0,0.0,6.5,840.5,1660.0,28.75,0.0,0.0,783.5,930.75,0.0,0.0,0.0,14.75,0.0,0.0,0.0,0.0,0.25,173.5,110.25,0.0,0.0,59.5,544.75,69.5,0.0,0.0,0.0,36.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,41.25,2.0,0.0,0.0,0.75,0.5,149.25,1482.75,840.5,474.5,304.0,244.0,164.0,143.75,120.75,135.75,133.75,139.0,156.25,209.5,285.25,490.0,800.75,1999.25,Batik Bali
2,406.5,9.0,0.0,0.0,2.25,227.25,148.75,0.25,0.0,3.5,59.75,3.5,0.0,0.0,0.0,0.0,2.0,0.25,0.0,0.0,95.25,1298.25,1446.0,10.5,0.0,299.25,3064.5,809.0,0.0,0.0,0.5,34.25,0.0,0.0,0.0,0.0,161.0,112.75,95.5,0.25,106.5,832.25,1501.0,549.75,0.0,0.0,27.75,369.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.25,98.5,18.0,3.75,0.0,2.25,7.75,6.0,440.5,2040.25,1025.0,483.0,315.0,210.75,152.25,124.0,117.25,134.0,121.0,141.0,171.25,223.25,339.25,577.75,1190.75,4021.0,Batik Bali
3,814.0,8.5,159.5,6.5,716.25,387.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.75,9.5,2.0,1652.0,297.0,147.75,0.0,1251.25,878.75,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,0.0,0.0,2015.0,658.25,0.0,0.0,559.75,1333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,7767.5,4252.5,1897.5,575.75,280.0,184.0,175.25,134.25,109.25,110.0,893.0,97.5,115.0,115.25,181.5,211.5,305.0,584.5,8503.5,Batik Bali
4,1189.25,497.25,12.25,0.0,0.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6.75,0.0,0.75,714.75,3314.25,1.75,0.0,0.0,210.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.0,168.0,2.25,0.0,175.25,3170.0,6030.0,0.0,0.0,0.0,638.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.75,309.25,0.0,0.0,38.25,4385.25,4402.5,3401.25,788.0,258.25,117.75,70.5,53.5,33.25,29.25,32.25,32.25,36.0,48.0,59.25,140.5,252.75,717.75,11324.25,Batik Bali
5,5032.0,1383.0,0.0,0.0,0.0,143.5,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.25,962.0,0.0,0.0,4.75,6230.75,400.5,0.0,0.0,0.0,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.75,497.0,0.0,0.0,2.75,5064.5,374.0,0.0,0.0,1.75,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,359.25,0.0,0.0,2.25,6279.25,9345.75,2032.25,357.5,126.0,79.25,38.25,29.5,18.25,21.5,21.0,16.75,21.75,35.25,36.25,61.5,140.75,340.75,14798.5,Batik Bali
6,5221.5,2460.25,256.75,209.0,2.5,462.75,956.5,205.5,0.0,0.0,2.75,61.25,0.0,0.0,0.0,0.0,3.0,6.75,0.75,1.5,1.0,205.0,856.0,119.0,0.0,5.0,237.5,315.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.25,9.0,8.5,0.0,0.5,94.25,223.0,0.0,0.0,9.5,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1.25,0.0,1.5,12.75,180.5,866.75,2419.75,679.25,317.0,150.0,116.0,68.75,61.75,64.0,59.5,60.75,61.25,84.0,120.25,158.25,317.75,730.0,5964.75,Batik Bali
7,1764.75,204.25,21.75,0.0,486.5,83.0,81.5,1.5,1.25,0.75,44.0,12.75,0.0,0.0,0.0,0.0,368.75,57.0,1.0,0.0,1591.25,1486.5,229.75,1.75,562.25,957.5,146.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,216.75,3.75,0.75,680.5,1516.0,240.0,15.0,10.75,71.5,37.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,77.75,42.5,0.0,5.25,56.0,117.75,59.25,721.75,2168.5,838.25,390.75,235.5,157.75,106.75,82.25,84.25,74.25,73.0,77.0,100.75,134.25,219.25,373.75,824.75,4696.25,Batik Bali
8,1417.5,10.5,0.0,0.0,2.25,100.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,2.5,0.0,0.0,120.5,2752.75,303.25,0.0,0.0,21.75,639.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1081.25,34.75,0.0,0.0,491.0,6289.25,317.5,0.0,0.0,31.25,834.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.75,59.75,0.0,0.0,196.25,8706.75,5276.25,2883.75,515.5,184.5,98.0,60.75,47.75,36.75,38.5,70.25,38.75,42.25,45.75,57.25,108.25,190.75,529.0,13957.25,Batik Bali
9,2656.5,4541.25,85.5,0.0,2.25,625.5,469.25,0.75,0.0,0.0,1.25,1.75,0.0,0.0,0.0,0.0,3.25,20.75,64.75,53.0,35.0,1024.75,2332.75,2.75,0.0,44.0,990.0,24.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.75,0.0,0.0,0.0,327.0,314.25,264.25,0.0,0.0,0.0,52.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.75,0.5,0.0,0.0,7.0,0.5,19.0,1706.0,2196.0,553.5,292.25,171.0,128.0,112.25,99.25,96.0,86.25,82.25,93.0,116.75,138.0,167.75,284.5,586.75,7100.5,Batik Bali
