Id,math score,reading score,writing score
2061001,72.0,72.0,
2061002,69.0,90.0,88.0
2061003,90.0,95.0,93.0
2061004,47.0,57.0,44.0
2061005,76.0,78.0,75.0
2061006,71.0,83.0,78.0
2061007,88.0,95.0,92.0
2061008,40.0,43.0,39.0
2061009,64.0,64.0,67.0
2061010,38.0,60.0,50.0
2061011,58.0,54.0,52.0
2061012,40.0,52.0,43.0
2061013,65.0,81.0,73.0
2061014,78.0,72.0,70.0
2061015,50.0,53.0,58.0
2061016,69.0,75.0,78.0
2061017,88.0,89.0,86.0
2061018,18.0,32.0,28.0
2061019,46.0,42.0,46.0
2061020,54.0,,61.0
2061021,66.0,69.0,63.0
2061022,65.0,75.0,70.0
2061023,44.0,54.0,53.0
2061024,,73.0,73.0
2061025,74.0,71.0,80.0
2061026,73.0,,72.0
2061027,69.0,54.0,55.0
2061028,67.0,69.0,75.0
2061029,70.0,70.0,65.0
2061030,62.0,70.0,75.0
2061031,69.0,74.0,74.0
2061032,63.0,65.0,61.0
2061033,,,65.0
2061034,,42.0,38.0
2061035,97.0,87.0,82.0
2061036,81.0,81.0,79.0
2061037,74.0,81.0,83.0
2061038,50.0,64.0,59.0
2061039,75.0,90.0,88.0
2061040,57.0,56.0,57.0
2061041,55.0,61.0,54.0
2061042,58.0,73.0,68.0
2061043,53.0,58.0,65.0
2061044,59.0,65.0,66.0
2061045,50.0,56.0,54.0
2061046,65.0,54.0,57.0
2061047,55.0,65.0,62.0
2061048,66.0,71.0,76.0
2061049,57.0,74.0,76.0
2061050,82.0,84.0,82.0
2061051,53.0,55.0,48.0
2061052,77.0,69.0,68.0
2061053,53.0,44.0,42.0
2061054,88.0,78.0,75.0
2061055,71.0,84.0,87.0
2061056,33.0,,43.0
2061057,82.0,85.0,86.0
2061058,52.0,55.0,49.0
2061059,58.0,,58.0
2061060,0.0,17.0,10.0
2061061,79.0,74.0,72.0
2061062,39.0,39.0,34.0
2061063,62.0,61.0,
2061064,69.0,80.0,71.0
2061065,59.0,58.0,59.0
2061066,67.0,64.0,61.0
2061067,45.0,37.0,37.0
2061068,60.0,72.0,74.0
2061069,61.0,58.0,56.0
2061070,39.0,64.0,57.0
2061071,58.0,,73.0
2061072,63.0,55.0,63.0
